courseCode,cohortSize,Campus
ASST08041,30,*George Square/Buccleuch
ASST08042,89,*George Square/Buccleuch
ASST08042,89,*George Square/Buccleuch
ASST08042,89,*George Square/Buccleuch
ASST08042,89,*George Square/Buccleuch
ASST08042,89,*George Square/Buccleuch
ASST08042,89,*George Square/Buccleuch
ASST08042,89,*George Square/Buccleuch
ASST08042,89,*George Square/Buccleuch
ASST08049,20,*George Square/Buccleuch
ASST08049,20,*George Square/Buccleuch
ASST08050,20,*George Square/Buccleuch
ASST08050,20,*George Square/Buccleuch
ASST08050,20,*George Square/Buccleuch
ASST08050,20,*George Square/Buccleuch
